Category,Course Title,Course URL
undergraduate,BA (Hons) Communication and Media,https://www.bournemouth.ac.uk/study/courses/ba-hons-communication-media
undergraduate,BA (Hons) Marketing Communications for Social Change,https://www.bournemouth.ac.uk/study/courses/ba-hons-marketing-communications-social-change
undergraduate,BA (Hons) Marketing Communications with Advertising,https://www.bournemouth.ac.uk/study/courses/ba-hons-marketing-communications-advertising
undergraduate,BA (Hons) Marketing Communications with Digital Strategy,https://www.bournemouth.ac.uk/study/courses/ba-hons-marketing-communications-digital-strategy
undergraduate,BA (Hons) Marketing Communications with Public Relations,https://www.bournemouth.ac.uk/study/courses/ba-hons-marketing-communications-public-relations
undergraduate,BA (Hons) Multimedia Journalism,https://www.bournemouth.ac.uk/study/courses/ba-hons-multimedia-journalism
undergraduate,BA (Hons) Multimedia Sports Journalism,https://www.bournemouth.ac.uk/study/courses/ba-hons-multimedia-sports-journalism
undergraduate,LLB (Hons) Law,https://www.bournemouth.ac.uk/study/courses/llb-hons-law-1
undergraduate,LLB (Hons) Law with Legal Practice (SQE),https://www.bournemouth.ac.uk/study/courses/llb-hons-law-legal-practice-sqe
undergraduate,LLB (Hons) Law with Politics,https://www.bournemouth.ac.uk/study/courses/llb-hons-law-politics-0
undergraduate,"LLB (Hons) Law, Media & Creative Industries",https://www.bournemouth.ac.uk/study/courses/llb-hons-law-media-creative-industries-0
undergraduate,BSc (Hons) Biological Sciences,https://www.bournemouth.ac.uk/study/courses/bsc-hons-biological-sciences-2
undergraduate,BSc (Hons) Ecology & Wildlife Conservation,https://www.bournemouth.ac.uk/study/courses/bsc-hons-ecology-wildlife-conservation-3
undergraduate,BSc (Hons) Environmental Science,https://www.bournemouth.ac.uk/study/courses/bsc-hons-environmental-science-2
undergraduate,BSc (Hons) Forensic Investigation,https://www.bournemouth.ac.uk/study/courses/bsc-hons-forensic-investigation-2
undergraduate,BSc (Hons) Forensic Science,https://www.bournemouth.ac.uk/study/courses/bsc-hons-forensic-science-3
undergraduate,BSc (Hons) Geography,https://www.bournemouth.ac.uk/study/courses/bsc-hons-geography-2
undergraduate,BSc (Hons) Marine Ecology and Conservation (Top-up),https://www.bournemouth.ac.uk/study/courses/bsc-hons-marine-ecology-conservation-top
undergraduate,BA (Hons) Marketing Communications for Social Change,https://www.bournemouth.ac.uk/study/courses/ba-hons-marketing-communications-social-change
undergraduate,BA (Hons) Marketing Communications with Advertising,https://www.bournemouth.ac.uk/study/courses/ba-hons-marketing-communications-advertising
undergraduate,BA (Hons) Marketing Communications with Digital Strategy,https://www.bournemouth.ac.uk/study/courses/ba-hons-marketing-communications-digital-strategy
undergraduate,BA (Hons) Marketing Communications with Public Relations,https://www.bournemouth.ac.uk/study/courses/ba-hons-marketing-communications-public-relations
undergraduate,BSc (Hons) Marketing,https://www.bournemouth.ac.uk/study/courses/bsc-hons-marketing
undergraduate,BA (Hons) Film,https://www.bournemouth.ac.uk/study/courses/ba-hons-film-3
undergraduate,BA (Hons) Film & TV Production,https://www.bournemouth.ac.uk/study/courses/ba-hons-film-tv-production
undergraduate,BA (Hons) Film Production & Cinematography,https://www.bournemouth.ac.uk/study/courses/ba-hons-film-production-cinematography
undergraduate,BA (Hons) Media Production,https://www.bournemouth.ac.uk/study/courses/ba-hons-media-production
undergraduate,BA (Hons) Music and Sound Production,https://www.bournemouth.ac.uk/study/courses/ba-hons-music-sound-production
undergraduate,BSc (Hons) Biomedical Science,https://www.bournemouth.ac.uk/study/courses/bsc-hons-biomedical-science-0
undergraduate,BSc (Hons) Medical Science,https://www.bournemouth.ac.uk/study/courses/bsc-hons-medical-science-0
undergraduate,BSc (Hons) Psychology,https://www.bournemouth.ac.uk/study/courses/bsc-hons-psychology-1
undergraduate,BSc (Hons) Psychology in Education,https://www.bournemouth.ac.uk/study/courses/bsc-hons-psychology-education
undergraduate,BSc (Hons) Psychology with Counselling,https://www.bournemouth.ac.uk/study/courses/bsc-hons-psychology-counselling
undergraduate,BSc (Hons) Psychology with Forensic Investigation,https://www.bournemouth.ac.uk/study/courses/bsc-hons-psychology-forensic-investigation
undergraduate,BSc (Hons) Sport and Exercise Science,https://www.bournemouth.ac.uk/study/courses/bsc-hons-sport-exercise-science
undergraduate,BSc (Hons) Sport Coaching,https://www.bournemouth.ac.uk/study/courses/bsc-hons-sport-coaching
undergraduate,BSc (Hons) Sport Management,https://www.bournemouth.ac.uk/study/courses/bsc-hons-sport-management
undergraduate,BSc (Hons) Sports Therapy,https://www.bournemouth.ac.uk/study/courses/bsc-hons-sports-therapy-2
undergraduate,BA (Hons) Events Management,https://www.bournemouth.ac.uk/study/courses/ba-hons-events-management
undergraduate,BA (Hons) International Hospitality & Tourism Management (Top-up),https://www.bournemouth.ac.uk/study/courses/ba-hons-international-hospitality-tourism-management-top-0
undergraduate,BA (Hons) International Hospitality and Business Management,https://www.bournemouth.ac.uk/study/courses/ba-hons-international-hospitality-business-management
undergraduate,BA (Hons) International Tourism & Business Management,https://www.bournemouth.ac.uk/study/courses/ba-hons-international-tourism-business-management-0
undergraduate,BA (Hons) International Tourism and Hospitality Management,https://www.bournemouth.ac.uk/study/courses/ba-hons-international-tourism-hospitality-management-0
undergraduate,BA (Hons) Tourism Management,https://www.bournemouth.ac.uk/study/courses/ba-hons-tourism-management
postgraduate,MSc Finance,https://www.bournemouth.ac.uk/study/courses/msc-finance
postgraduate,MSc International Accounting and Finance,https://www.bournemouth.ac.uk/study/courses/msc-international-accounting-finance
postgraduate,MSc International Finance and Economics,https://www.bournemouth.ac.uk/study/courses/msc-international-finance-economics
postgraduate,MSc Sustainable Economic Development and Emerging Markets,https://www.bournemouth.ac.uk/study/courses/msc-sustainable-economic-development-emerging-markets
postgraduate,MSc Bioarchaeology,https://www.bournemouth.ac.uk/study/courses/msc-bioarchaeology
postgraduate,Master of Business Administration,https://www.bournemouth.ac.uk/study/courses/master-business-administration
